name;value_euro;wage_euro;height_cm;weight_kgs;age;nationality;overall_rating;positions;preferred_foot;club_team
L. Tempelmann;325000.0;2000.0;175.26;73.9;20;Germany;59;CM,CDM;Right;SC Freiburg
Y. Koike;190000.0;1000.0;170.18;64.0;22;Japan;59;LB;Left;Sint-Truidense VV
S. Sissoko;325000.0;1000.0;152.4;68.0;19;France;59;CM,RB;Right;Stade de Reims
E. Ferigra;260000.0;2000.0;187.96;78.0;20;Ecuador;59;CB;Right;Torino
D. Bajselmani;220000.0;1000.0;152.4;82.1;20;Netherlands;59;RB;Right;PEC Zwolle
J. Toualy;290000.0;1000.0;170.18;63.0;20;Ivory Coast;59;LM,RM,CAM;Right;KV Kortrijk
A. Abdellaoui;160000.0;4000.0;185.42;74.8;26;Algeria;59;LB,CB;Left;FC Sion
S. Mandash;210000.0;3000.0;167.64;63.0;24;Saudi Arabia;59;RM,LM;Right;Al Faisaly
D. Jarvis;160000.0;1000.0;152.4;71.2;26;Northern Ireland;59;LB,CB;Left;Dundalk
M. Spasic;200000.0;1000.0;154.94;72.1;21;Serbia;59;LB;Left;FC Admira Wacker Mödling
B. Stillhart;220000.0;2000.0;152.4;68.9;24;Switzerland;59;CM,CDM;Right;FC Thun
H. Benkaïd;160000.0;1000.0;152.4;71.2;28;France;59;ST,LW;Left;US Orléans Loiret Football
S. Singh;;;187.96;76.2;23;India;59;CB;Right;India
T. Klupś;325000.0;1000.0;152.4;77.1;19;Poland;59;RM;Right;Lech Poznań
A. DeJohn;150000.0;1000.0;182.88;79.8;27;United States;59;CB,RB;Right;Orlando City SC
H. Andersson;300000.0;1000.0;190.5;79.8;20;Sweden;59;CB;Right;Malmö FF
O. Vojić;230000.0;1000.0;182.88;71.2;22;Austria;59;CF;Right;Shamrock Rovers
M. Kelly;210000.0;1000.0;154.94;69.9;21;Scotland;59;LB;Left;Bristol Rovers
C. Holse;325000.0;2000.0;175.26;68.0;19;Denmark;59;RM,ST,LM;Left;Esbjerg fB
B. Wright;230000.0;1000.0;182.88;88.0;23;Canada;59;ST;Right;New England Revolution
L. Desmond;190000.0;1000.0;182.88;74.8;24;Republic of Ireland;59;CB,CDM,LB;Left;St. Patrick's Athletic
M. Andersson;20000.0;1000.0;154.94;69.9;37;Sweden;59;CB,CDM,CM;Right;Trelleborgs FF
L. Weinkauf;220000.0;2000.0;195.58;89.8;22;Germany;59;GK;Right;Hannover 96
F. Castro;210000.0;2000.0;152.4;67.1;24;Uruguay;59;RW,RM;Right;Club Necaxa
M. Curry;325000.0;4000.0;170.18;74.8;19;England;59;ST;Right;Middlesbrough
G. Wild;220000.0;1000.0;152.4;78.0;23;Germany;59;ST;Right;Atlanta United
M. Virtue;250000.0;1000.0;175.26;66.2;21;England;59;CDM,CM;Right;Blackpool
Dai Wai-Tsun;250000.0;1000.0;175.26;74.8;19;Hong Kong;59;CM,RM,LM;Right;FC Utrecht
L. Ndenbe;290000.0;1000.0;170.18;73.9;19;Belgium;59;LB,LWB,LM;Left;KV Oostende
Chu Jinzhao;170000.0;3000.0;175.26;63.0;26;China PR;59;CB,RB,LB;Right;Tianjin Quanjian FC
P. Johansson;210000.0;1000.0;185.42;79.8;24;Sweden;59;RM;Right;Kalmar FF
L. Fadinger;270000.0;2000.0;172.72;64.9;18;Austria;59;CAM;Right;SK Sturm Graz
A. Lacey;180000.0;1000.0;187.96;74.8;25;England;59;CB,CDM;Right;Gillingham
Zhang Li;150000.0;2000.0;172.72;69.9;29;China PR;59;CM,CDM;Right;Changchun Yatai FC
R. Keskin;200000.0;1000.0;175.26;73.9;20;Turkey;59;CDM,CM;Right;Bursaspor
N. Fröling;280000.0;1000.0;175.26;73.9;18;Sweden;59;ST;Right;Kalmar FF
E. Whitehouse;200000.0;2000.0;154.94;79.8;25;England;59;CM,CAM;Right;Grimsby Town
J. Martin;120000.0;2000.0;182.88;83.0;30;England;59;LB;Left;Stevenage
B. Dennehy;140000.0;1000.0;172.72;73.9;32;Republic of Ireland;59;LM,LB;Left;Limerick FC
C. Norman;180000.0;1000.0;187.96;73.9;23;England;59;RB;Right;Walsall
J. Torres;300000.0;1000.0;152.4;71.2;21;Colombia;59;CDM;Right;Atlético Bucaramanga
M. Rosas;350000.0;1000.0;170.18;64.9;21;Chile;59;RW;Right;Universidad Católica
R. Al Hafizi;230000.0;3000.0;175.26;79.8;23;Saudi Arabia;59;LM,ST;Left;Ohod Club
O. Brynhildsen;325000.0;1000.0;152.4;69.9;19;Norway;59;RM,LM;Right;Stabæk Fotball
M. Duku;200000.0;2000.0;187.96;74.8;26;Netherlands;59;ST;Right;Cheltenham Town
A. Cavagnera;300000.0;4000.0;185.42;74.8;20;Belgium;59;CDM;Right;FC Lugano
R. Cole;350000.0;4000.0;152.4;64.9;21;England;59;CM,CAM;Right;Macclesfield Town
R. Polley;240000.0;1000.0;182.88;71.2;20;Netherlands;59;RB;Right;ADO Den Haag
Y. Akiyama;180000.0;1000.0;170.18;64.0;23;Japan;59;LB,LM;Left;Nagoya Grampus
L. Orellano;325000.0;1000.0;152.4;66.2;18;Argentina;59;LW;Left;Vélez Sarsfield
M. Fallatah;220000.0;5000.0;182.88;64.0;23;Saudi Arabia;59;CM,CDM;Right;Al Fayha
R. Sans;300000.0;1000.0;175.26;69.9;19;France;59;LB;Left;FC Sochaux-Montbéliard
M. Edjouma;240000.0;1000.0;190.5;87.1;22;Morocco;59;CM;Right;Red Star FC
J. Ingham;200000.0;2000.0;154.94;72.1;25;New Zealand;59;RW;Right;Melbourne Victory
T. Dallison;220000.0;1000.0;185.42;83.9;23;England;59;CB;Left;Crawley Town
R. Rotondi;250000.0;2000.0;152.4;77.1;22;Argentina;59;LM,LW;Left;Newell's Old Boys
C. Ezeh;300000.0;1000.0;195.58;79.8;21;Nigeria;59;CM,RM;Right;Lillestrøm SK
C. Elva;210000.0;1000.0;152.4;72.1;22;Canada;59;RW,LW,ST;Right;FC Würzburger Kickers
J. Brown;300000.0;3000.0;185.42;72.1;20;England;59;LB;Left;Exeter City
J. Melling;160000.0;1000.0;175.26;71.2;23;Australia;59;CDM;Right;Central Coast Mariners
C. Beardsley;80000.0;2000.0;182.88;81.2;35;England;59;ST;Right;Burton Albion
S. Joss;180000.0;2000.0;152.4;68.0;24;Switzerland;59;LB,RB;Right;FC Thun
A. McGowan;220000.0;1000.0;154.94;79.8;22;England;59;RWB,RB;Right;Hamilton Academical FC
A. Rosteghin;260000.0;1000.0;154.94;74.8;18;Italy;59;GK;Left;Cittadella
D. Fontani;180000.0;1000.0;190.5;82.1;22;France;59;CB;Right;Chamois Niortais Football Club
P. Menzel;280000.0;1000.0;193.04;83.9;20;Germany;59;GK;Right;VfL Wolfsburg
M. Flynn;50000.0;1000.0;154.94;84.8;38;Wales;59;CM;Right;Newport County
A. Reyes;325000.0;4000.0;165.1;63.0;19;Mexico;59;RW;Right;Tigres U.A.N.L.
F. Dahmen;220000.0;2000.0;185.42;79.8;20;Germany;59;GK;Right;1. FSV Mainz 05
M. Grødem;270000.0;1000.0;193.04;78.0;20;Norway;59;CAM,LM;Right;Vålerenga Fotball
N. Sandberg;220000.0;1000.0;154.94;64.9;23;Norway;59;CM;Left;FK Haugesund
D. O'Connor;350000.0;1000.0;172.72;68.0;21;Republic of Ireland;59;LM,CAM,RM;Right;Cork City
M. Ruiz Díaz;230000.0;2000.0;152.4;76.2;22;Argentina;59;RB,RM;Right;Estudiantes de La Plata
F. Lauenborg;230000.0;2000.0;154.94;73.9;21;Denmark;59;CM;Right;Randers FC
M. Amelhaf;240000.0;1000.0;175.26;66.2;21;France;59;ST,CF,CAM;Right;VfR Aalen
F. Serraiocco;130000.0;1000.0;190.5;83.0;25;Italy;59;GK;Right;Carpi
J. Díaz;270000.0;2000.0;175.26;69.9;20;Argentina;59;CB;Right;Estudiantes de La Plata
K. Ødemarksbakken;240000.0;1000.0;154.94;72.1;23;Norway;59;LM,RM;Right;Lillestrøm SK
I. Bolaño;350000.0;2000.0;170.18;76.2;20;Argentina;59;RM;Right;Club Atlético Tigre
R. Takano;180000.0;1000.0;170.18;68.0;24;Japan;59;LB,LWB;Left;Yokohama F. Marinos
L. Mandeville;250000.0;1000.0;154.94;77.1;22;England;59;RM,ST;Right;Morecambe
T. Wiesner;220000.0;2000.0;193.04;87.1;22;Germany;59;GK;Right;Fortuna Düsseldorf
F. Arhin;270000.0;1000.0;165.1;64.9;20;Ghana;59;CAM;Left;Östersunds FK
R. Peña;150000.0;2000.0;170.18;72.1;26;Mexico;59;RB;Right;Querétaro
A. Çelebi;300000.0;2000.0;195.58;78.0;19;Turkey;59;CB;Right;Beşiktaş JK
J. Maguire;180000.0;1000.0;152.4;69.9;23;England;59;LB;Left;Crawley Town
D. Clarke;190000.0;1000.0;152.4;81.2;25;Republic of Ireland;59;LM,RM,ST;Right;St. Patrick's Athletic
R. Roesch;290000.0;2000.0;154.94;74.8;19;Germany;59;CAM;Right;FC Augsburg
S. Kaya;210000.0;3000.0;152.4;72.1;23;Turkey;59;ST;Right;BB Erzurumspor
J. Cataldi;325000.0;1000.0;172.72;66.2;20;Argentina;59;RM;Right;Gimnasia y Esgrima La Plata
M. Hamrol;160000.0;1000.0;195.58;89.8;25;Germany;59;GK;Left;Korona Kielce
A. Lottin;325000.0;2000.0;154.94;74.8;17;France;59;CM;Right;FC Girondins de Bordeaux
S. Bone;210000.0;1000.0;182.88;84.8;20;England;59;CDM,CB,RB;Right;Shamrock Rovers
F. Mura;300000.0;1000.0;170.18;73.9;19;Argentina;59;RB;Right;Estudiantes de La Plata
N. Alioui;260000.0;1000.0;152.4;73.9;20;France;59;LM,RM,ST;Right;KSV Cercle Brugge
K. Pytlik;190000.0;1000.0;182.88;83.9;21;Poland;59;CB;Right;VfL Sportfreunde Lotte
M. Šarkić;170000.0;1000.0;193.04;73.0;21;Montenegro;59;GK;Right;Aston Villa
S. Duggan;150000.0;1000.0;170.18;69.9;29;Republic of Ireland;59;CM;Left;Waterford FC
J. Debayo;200000.0;1000.0;182.88;68.0;22;Nigeria;59;LB;Left;Cheltenham Town
J. Benson;280000.0;3000.0;175.26;73.9;19;England;59;CM;Right;Burnley
N. Ofoborh;290000.0;3000.0;182.88;77.1;19;Nigeria;59;CDM,CM;Right;Bournemouth
E. Salles;160000.0;1000.0;187.96;78.0;25;France;59;GK;Right;Grenoble Foot 38
I. Peter;270000.0;1000.0;175.26;66.2;21;Nigeria;59;LW,RW;Left;Cádiz CF
M. Bauer;290000.0;1000.0;187.96;78.0;19;Germany;59;CB;Right;SpVgg Greuther Fürth
E. Lara;290000.0;2000.0;175.26;63.0;19;Mexico;59;LB;Left;Club León
M. Lacroix;290000.0;1000.0;190.5;88.0;18;France;59;CB;Right;FC Sochaux-Montbéliard
Samu Pérez;180000.0;1000.0;152.4;71.2;21;Spain;59;GK;Right;Real Valladolid CF
A. Ceylan;270000.0;1000.0;170.18;64.0;20;Germany;59;LM,RM;Right;SC Fortuna Köln
A. Hartigan;325000.0;1000.0;152.4;68.0;19;England;59;CM,CAM;Right;AFC Wimbledon
M. Moya;350000.0;2000.0;167.64;63.0;20;Argentina;59;CAM;Right;Club Atlético Banfield
K. Sibille;300000.0;1000.0;154.94;71.2;20;Argentina;59;CB;Right;River Plate
S. Shearer;10000.0;1000.0;190.5;88.9;38;Scotland;59;GK;Left;Oxford United
A. Hristov;300000.0;1000.0;190.5;79.8;20;Bulgaria;59;CB;Right;Cosenza
D. Chambost;230000.0;3000.0;175.26;68.0;21;France;59;CAM;Left;AS Saint-Étienne
C. Bayiha;300000.0;1000.0;175.26;69.9;20;Canada;59;RB,RM,LB;Right;Montreal Impact
D. Blazevic;140000.0;1000.0;190.5;88.0;26;Sweden;59;GK;Right;Hammarby IF
A. Sicker;210000.0;1000.0;182.88;67.1;21;Germany;59;LB,LM;Left;Holstein Kiel
Tan Wangsong;90000.0;2000.0;154.94;69.9;33;China PR;59;RB,LB;Right;Tianjin TEDA FC
R. Gotts;325000.0;3000.0;175.26;78.0;19;England;59;RM;Right;Leeds United
T. van den Belt;300000.0;1000.0;175.26;67.1;17;Netherlands;59;CM;Right;PEC Zwolle
Zhang Wei;170000.0;2000.0;175.26;73.0;25;China PR;59;LB,RB;Left;Shanghai SIPG FC
Cui Peng;100000.0;3000.0;152.4;81.2;31;China PR;59;CDM,CM;Right;Shandong Luneng TaiShan FC
J. Carroll;130000.0;2000.0;182.88;78.0;27;Republic of Ireland;59;LB;Left;Cambridge United
M. Sylla;180000.0;2000.0;187.96;81.2;25;France;59;CDM,CM;Right;Oldham Athletic
I. El Kabbou;280000.0;1000.0;175.26;67.1;18;Morocco;59;ST,LM;Left;CF Reus Deportiu
C. Estrada;190000.0;4000.0;182.88;74.8;21;Mexico;59;GK;Right;Club América
N. Konstandopoulos;230000.0;1000.0;152.4;76.2;22;Australia;59;CM;Right;Adelaide United
K. Alexandersson;190000.0;1000.0;193.04;84.8;26;Sweden;59;ST;Right;Kristiansund BK
D. Wright;280000.0;2000.0;152.4;68.9;21;England;59;CM,CDM;Right;Colchester United
J. Latibeaudiere;290000.0;5000.0;154.94;72.1;19;England;59;CB;Right;Manchester City
W. Patching;325000.0;1000.0;185.42;69.9;20;England;59;CM;Right;Notts County
Alberto González;170000.0;1000.0;154.94;74.8;22;Spain;59;GK;Right;Córdoba CF
E. Sonupé;220000.0;2000.0;154.94;69.9;22;England;59;RM,LM;Right;Stevenage
O. Ashoor;120000.0;3000.0;170.18;74.8;29;Saudi Arabia;59;RB,LB;Right;Ohod Club
A. Hadzic;325000.0;1000.0;182.88;74.8;20;Norway;59;CM;Left;IK Start
A. Hernández;280000.0;3000.0;182.88;81.2;21;Mexico;59;ST;Left;U.N.A.M.
R. Musaba;240000.0;1000.0;152.4;68.0;18;Netherlands;59;CAM;Right;Vitesse
Sergio Gónzalez;190000.0;1000.0;182.88;77.1;21;Spain;59;CB;Right;Cádiz CF
M. Sawa;70000.0;1000.0;172.72;69.9;36;Japan;59;ST,CF;Right;Kashiwa Reysol
Cha Yeong Hwan;150000.0;1000.0;182.88;78.0;28;Korea Republic;59;CB;Right;Sangju Sangmu FC
Li Benjian;120000.0;2000.0;152.4;73.0;33;China PR;59;LM,CAM,CM;Left;Henan Jianye FC
A. Jenssen;170000.0;1000.0;185.42;83.9;25;Norway;59;CB;Right;Tromsø IL
K. Malinov;;;170.18;64.9;24;Bulgaria;59;CM;Right;Bulgaria
E. Boyle;160000.0;1000.0;154.94;83.0;22;Republic of Ireland;59;RB;Right;Shamrock Rovers
Che Shiwei;230000.0;2000.0;182.88;73.0;22;China PR;59;RM,LM;Left;Hebei China Fortune FC
A. Santos;200000.0;1000.0;152.4;66.2;24;Brazil;59;CM,RM;Right;Yeovil Town
D. Cawley;180000.0;1000.0;152.4;76.2;27;Republic of Ireland;59;CM,CDM;Right;Sligo Rovers
F. Cosciuc;300000.0;2000.0;182.88;72.1;21;Argentina;59;CB;Right;Club Atlético Huracán
L. Forte;220000.0;1000.0;175.26;64.0;24;Italy;59;ST,LW;Right;Pescara
A. Casco;220000.0;2000.0;172.72;72.1;22;Argentina;59;LM;Right;Club Atlético Huracán
H. Konaté;140000.0;1000.0;182.88;77.1;24;Ivory Coast;59;GK;Right;Valenciennes FC
J. Bridge;230000.0;2000.0;152.4;73.0;23;England;59;CAM,LM;Right;Northampton Town
K. Bafounta;325000.0;2000.0;193.04;73.9;17;France;59;CM;Right;Borussia Dortmund
O. Bertel;200000.0;1000.0;175.26;64.0;22;Colombia;59;LB;Left;Millonarios FC
C. Kablan;180000.0;2000.0;175.26;68.9;24;Switzerland;59;LB,RB;Right;FC Thun
A. Lewis;300000.0;3000.0;182.88;84.8;20;Wales;59;LB,RB;Right;Doncaster Rovers
S. Tigges;210000.0;1000.0;195.58;82.1;20;Germany;59;RM,LM;Left;VfL Osnabrück
M. Blakstad;200000.0;1000.0;193.04;83.0;25;Norway;59;CM,CF;Right;Ranheim Fotball
Pol Moreno;200000.0;1000.0;193.04;79.8;24;Spain;59;CB;Right;GIF Sundsvall
K. Kaïboue;240000.0;1000.0;182.88;64.9;20;France;59;CDM;Left;Montpellier HSC
Yang Ting;160000.0;2000.0;182.88;72.1;25;China PR;59;RB;Right;Guizhou Hengfeng FC
K. Taylor;280000.0;4000.0;152.4;69.9;19;England;59;CAM;Right;Bournemouth
P. Arredondo;190000.0;1000.0;182.88;78.0;24;Chile;59;CB;Left;Deportes Iquique
N. Yamada;160000.0;2000.0;167.64;66.2;28;Japan;59;CM,CF;Right;Urawa Red Diamonds
B. Goller;325000.0;2000.0;154.94;64.9;20;Germany;59;RM,RW,RWB;Right;FC Schalke 04
J. Meier;290000.0;3000.0;152.4;78.0;19;Germany;59;LB;Left;FC Bayern München
B. Murphy;80000.0;1000.0;152.4;74.8;33;Republic of Ireland;59;GK;Right;St. Patrick's Athletic
T. Vassell;180000.0;2000.0;182.88;69.9;22;England;59;LB,RB,CB;Right;Port Vale
M. Tyler;10000.0;1000.0;182.88;83.0;41;England;59;GK;Right;Peterborough United
J. Molumby;325000.0;3000.0;152.4;64.0;19;Republic of Ireland;59;CM;Right;Brighton & Hove Albion
P. Arboine;210000.0;1000.0;152.4;67.1;20;Costa Rica;59;CB;Right;Sarpsborg 08 FF
Oh Inpyo;230000.0;1000.0;152.4;63.0;21;Korea Republic;59;CAM;Right;LASK Linz
K. Twardek;240000.0;1000.0;185.42;78.9;22;Canada;59;LM,RM,ST;Right;Sligo Rovers
O. Al Sunain;180000.0;3000.0;170.18;71.2;23;Saudi Arabia;59;RB;Right;Ettifaq FC
J. Wrąbel;180000.0;1000.0;193.04;87.1;22;Poland;59;GK;Right;Śląsk Wrocław
R. Sykes;260000.0;1000.0;195.58;73.0;19;England;59;CB;Right;Accrington Stanley
J. Garay;160000.0;1000.0;175.26;73.0;26;Colombia;59;LB;Left;Boyacá Chicó FC
Y. Fortune;325000.0;3000.0;152.4;76.2;20;France;59;ST;Right;FC Sion
Lee Sang Hyeob;150000.0;1000.0;152.4;66.2;29;Korea Republic;59;CM;Left;Sangju Sangmu FC
E. Coronel;200000.0;2000.0;175.26;73.0;22;Argentina;59;RB;Right;Club Atlético Banfield
T. Müsel;325000.0;2000.0;185.42;76.2;19;Germany;59;ST;Right;Borussia Mönchengladbach
D. Martinović;230000.0;1000.0;152.4;77.1;21;Croatia;59;ST;Right;SG Sonnenhof Großaspach
C. Manley;220000.0;1000.0;154.94;77.1;22;United States;59;RB;Right;Minnesota United FC
L. Selahi;290000.0;1000.0;154.94;69.9;20;Albania;59;CM,CAM,CDM;Right;Standard de Liège
Han Seung Wook;230000.0;1000.0;175.26;69.9;23;Korea Republic;59;CAM;Right;Jeonnam Dragons
J. Abbel;200000.0;1000.0;154.94;74.8;20;Netherlands;59;LB;Left;Willem II
F. Manzo;230000.0;1000.0;175.26;66.2;20;Chile;59;CAM,CM;Right;Unión La Calera
O. Al Khalaf;240000.0;3000.0;175.26;59.9;22;Saudi Arabia;59;CDM,CM,RB,LM;Right;Al Hazem
J. Tilley;350000.0;5000.0;175.26;68.9;20;England;59;CAM,LM;Left;Cork City
T. Weiner;230000.0;1000.0;190.5;83.0;20;Germany;59;GK;Right;Holstein Kiel
T. Fleckstein;300000.0;1000.0;187.96;64.9;19;Germany;59;CB;Right;Holstein Kiel
A. Morley;325000.0;1000.0;182.88;72.1;19;England;59;CM,CDM;Right;Rochdale
K. Grabara;280000.0;1000.0;190.5;74.8;20;Poland;59;GK;Right;Aarhus GF
Zhou Liao;160000.0;3000.0;182.88;78.0;30;China PR;59;ST,LW;Right;Tianjin TEDA FC
L. Corbu;170000.0;1000.0;175.26;68.0;24;Romania;59;RB;Right;St. Mirren
A. Ramalingom;200000.0;1000.0;152.4;69.9;25;France;59;ST;Right;AS Béziers
G. Kakudji;250000.0;1000.0;193.04;83.0;19;Belgium;59;CB,RB;Right;Royal Antwerp FC
K. Shiihashi;170000.0;1000.0;152.4;68.9;21;Japan;59;CB,CDM;Right;Vegalta Sendai
R. Obermair;240000.0;3000.0;182.88;76.2;22;Germany;59;RM,LM;Right;SK Sturm Graz
L. Calderón;240000.0;2000.0;175.26;69.9;20;Argentina;59;ST;Right;Gimnasia y Esgrima La Plata
Wang Wei;150000.0;2000.0;182.88;74.8;29;China PR;59;LM,RM,LB,RB;Left;Shanghai Greenland Shenhua FC
H. Abdelli;325000.0;1000.0;187.96;83.0;19;France;59;CAM;Left;Le Havre AC
M. Kamenz;150000.0;1000.0;187.96;79.8;20;Germany;59;GK;Right;FSV Zwickau
R. Marín;350000.0;6000.0;154.94;72.1;20;Mexico;59;ST;Left;Club Necaxa
T. Verlinden;325000.0;3000.0;172.72;64.9;19;Belgium;59;RW,RM;Right;Stoke City
R. Hirose;190000.0;1000.0;175.26;68.0;23;Japan;59;RWB,RM,RB;Right;Yokohama F. Marinos
T. Corbaz;190000.0;1000.0;152.4;64.9;25;Switzerland;59;CDM,CM;Right;Neuchâtel Xamax
M. Šverko;260000.0;3000.0;187.96;81.2;21;Croatia;59;LB;Left;Karlsruher SC
Jeong Seung Won;250000.0;1000.0;170.18;68.0;22;Korea Republic;59;RW,ST,CM;Right;Daegu FC
Kim Gyeong Jae;180000.0;1000.0;182.88;73.0;25;Korea Republic;59;CB,RB;Right;Sangju Sangmu FC
G. Edmundson;240000.0;2000.0;190.5;78.9;21;England;59;CB;Right;Oldham Athletic
R. Simpson;100000.0;3000.0;185.42;74.8;33;England;59;ST;Right;Milton Keynes Dons
Y. Roemer;300000.0;1000.0;154.94;69.9;17;Netherlands;59;ST;Right;VVV-Venlo
Z. de la Paz;180000.0;2000.0;187.96;78.0;23;Curacao;59;GK;Right;Oldham Athletic
M. Čović;350000.0;3000.0;170.18;62.1;20;Germany;59;RM,LM,RB;Right;Hertha BSC
M. Smith;190000.0;2000.0;152.4;69.9;23;England;59;CM;Right;Swindon Town
R. Singh;;;185.42;74.8;28;India;59;ST;Left;
F. Schwarzholz;290000.0;1000.0;154.94;74.8;19;Germany;59;CDM;Right;FC Augsburg
M. Real;290000.0;1000.0;154.94;73.0;19;United States;59;LB;Left;Philadelphia Union
D. Jones;350000.0;1000.0;175.26;74.8;21;United States;59;LW;Right;New England Revolution
F. Şimşek;350000.0;2000.0;185.42;74.8;21;Germany;59;LM,RM;Left;Çaykur Rizespor
L. Southwood;280000.0;2000.0;193.04;72.1;21;England;59;GK;Right;Reading
J. Kristoffersen;240000.0;1000.0;198.12;77.1;22;Norway;59;ST;Right;Hobro IK
K. Devaney;160000.0;1000.0;152.4;69.9;28;Republic of Ireland;59;LM,RM;Right;Bohemian FC
S. Seddon;240000.0;3000.0;152.4;68.0;21;England;59;LB,LM;Left;AFC Wimbledon
F. Mveng;190000.0;4000.0;175.26;79.8;26;Switzerland;59;CM,CDM;Right;FC Sion
Kim Min Jun;190000.0;1000.0;152.4;71.2;25;Korea Republic;59;CM,LB;Right;Jeonnam Dragons
S. Hornby;140000.0;2000.0;185.42;79.8;24;England;59;GK;Left;Port Vale
J. Barreto;325000.0;1000.0;154.94;76.2;19;Argentina;59;ST;Right;Patronato
Y. Yakovenko;210000.0;2000.0;193.04;86.2;25;Ukraine;59;ST;Left;Esbjerg fB
D. O'Halloran;240000.0;1000.0;172.72;68.9;23;Republic of Ireland;59;LM,ST;Right;Waterford FC
G. Kılıç;325000.0;1000.0;182.88;73.9;19;Germany;59;LM,CM;Right;1. FC Heidenheim 1846
J. Rasheed;140000.0;1000.0;190.5;91.2;27;Norway;59;GK;Right;BK Häcken
M. Özvardar;270000.0;2000.0;182.88;78.0;20;Turkey;59;ST;Right;Sivasspor
Adrià López;220000.0;1000.0;165.1;58.1;23;Spain;59;CM,CAM;Right;Ranheim Fotball
J. Wakely;280000.0;5000.0;190.5;74.8;18;England;59;CB;Right;Chelsea
R. Grego-Cox;240000.0;1000.0;170.18;64.9;22;Republic of Ireland;59;ST,RM;Right;Crawley Town
Ramón;130000.0;2000.0;182.88;83.0;28;Brazil;59;RB;Right;SønderjyskE
A. Sosa;210000.0;1000.0;182.88;79.8;22;Argentina;59;GK;Right;Unión de Santa Fe
K. Callan-McFadden;180000.0;1000.0;182.88;78.0;23;Republic of Ireland;59;CB,RB;Right;Sligo Rovers
M. Haarup;200000.0;1000.0;152.4;69.9;23;Denmark;59;LB,CB;Right;Hobro IK
N. Kirby;325000.0;3000.0;172.72;66.2;19;England;59;CAM;Right;Blackpool
T. Ominami;270000.0;1000.0;182.88;72.1;21;Japan;59;CB;Right;Júbilo Iwata
T. Archibald;450000.0;4000.0;154.94;59.9;21;Scotland;60;LM,RM;Left;Brentford
V. Rodríguez;290000.0;7000.0;162.56;64.0;23;Mexico;60;RM;Right;Club América
I. Miller;190000.0;2000.0;190.5;88.9;32;England;60;ST;Left;Tranmere Rovers
H. Castegren;290000.0;1000.0;182.88;82.1;22;Sweden;60;CB;Right;IFK Norrköping
S. Adrian;375000.0;1000.0;182.88;74.8;21;Sweden;60;CM,CDM;Left;Malmö FF
L. Plogmann;400000.0;1000.0;187.96;78.0;18;Germany;60;GK;Right;SV Werder Bremen
G. Giannoutsos;325000.0;1000.0;154.94;78.9;20;Greece;60;LB;Left;AEK Athens
R. Boultam;450000.0;1000.0;187.96;77.1;21;Netherlands;60;CM;Right;US Cremonese
M. Falkeborn;210000.0;1000.0;182.88;79.8;26;Sweden;60;LB,RB;Right;Lillestrøm SK
Dani García;350000.0;1000.0;154.94;69.9;20;Spain;60;CM;Right;Albacete BP
J. De Busser;290000.0;1000.0;190.5;81.2;19;Belgium;60;GK;Right;KAA Gent
S. Marasovic;450000.0;4000.0;170.18;59.0;21;France;60;CAM;Right;Olympique de Marseille
C. Villanueva;230000.0;4000.0;185.42;81.2;24;Mexico;60;RB;Right;Guadalajara
Liu Ruofan;450000.0;1000.0;187.96;74.8;20;China PR;60;RM;Right;Shanghai Greenland Shenhua FC
H. Smith;290000.0;2000.0;195.58;84.8;23;England;60;ST;Right;Macclesfield Town
J. Thompson;300000.0;1000.0;175.26;69.9;22;Northern Ireland;60;CAM,CM;Left;Blackpool
A. Al Arraf;210000.0;2000.0;182.88;74.8;23;Saudi Arabia;60;GK;Right;Al Taawoun
B. Miele;280000.0;1000.0;175.26;69.9;24;Republic of Ireland;60;RM,LM,CAM;Right;St. Patrick's Athletic
B. Cevahir;200000.0;2000.0;154.94;74.8;27;Turkey;60;LB;Right;Yeni Malatyaspor
D. Pines;290000.0;1000.0;195.58;88.0;21;United States;60;CB;Right;DC United
C. Wright;425000.0;4000.0;182.88;72.1;18;England;60;CAM,LM;Right;Leicester City
B. Levis;230000.0;1000.0;172.72;69.9;25;Canada;60;LB,LM;Left;Vancouver Whitecaps FC
G. Scalera;300000.0;1000.0;182.88;73.0;21;Italy;60;RB;Right;Pescara
C. Zock;270000.0;4000.0;190.5;79.8;24;Cameroon;60;CM,CDM;Right;FC Sion
J. Caraballo;325000.0;1000.0;167.64;69.9;23;Venezuela;60;RM,RW;Right;CD Huachipato
M. Diallo;220000.0;2000.0;182.88;78.9;28;Senegal;60;ST;Right;KAS Eupen
D. Salazar;450000.0;1000.0;154.94;73.9;19;Chile;60;ST;Left;CD O'Higgins
N. Husin;350000.0;2000.0;152.4;64.9;22;Afghanistan;60;CM,CDM;Right;Notts County
V. Millico;400000.0;3000.0;172.72;68.0;18;Italy;60;LW;Right;Torino
E. Monthe;250000.0;2000.0;193.04;82.1;24;Cameroon;60;CB,LB;Left;Tranmere Rovers
B. Njie;375000.0;1000.0;172.72;64.9;20;Norway;60;RW,LW;Right;Odds BK
R. Escobar;425000.0;1000.0;175.26;71.2;20;Chile;60;CB,CDM;Right;Audax Italiano
B. Kouyaté;290000.0;1000.0;193.04;78.0;21;Mali;60;CB;Right;ESTAC Troyes
